alias,preferred_term,alias_type,country_scope,source,confidence
Bodily Injury Claims Adjuster,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Bodily Injury Claims Examiner,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Claims Account Specialist,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Claims Adjuster,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Claims Adjustor,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Claims Agent,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Claims Analyst,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Claims Approver,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Claims Auditor,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Claims Consultant,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Claims Examiner,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Claims Inspector,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Claims Investigator,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Claims Processor,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Claims Representative,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Claims Service Adjustor,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Claims Service Specialist,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Claims Specialist,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Clerical Adjuster,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Commercial Insurance Inspector,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Compensation Adjuster,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Corporate Claims Examiner,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Disability Analyst,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Disability Examiner,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Disability Specialist,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Field Claims Adjuster,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Field Investigator,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Field Liability Generalist,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Field Property Claims Adjuster,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Field Property Claims Specialist,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Fire Adjuster,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Fire Claims Adjuster,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
General Adjuster,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Health Claims Examiner,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Health Insurance Adjuster,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Home Office Claims Examiner,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Home Office Claims Specialist,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Independent Insurance Adjuster,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Independent Insurance Agent,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Insurance Adjuster,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Insurance Appraiser,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Insurance Auditor,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Insurance Claims Adjuster,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Insurance Examiner,source_onet_claims_adjusters_examiners_and_investigators,alias,all,open_taxonomy_supported,4
Appraisal Specialist,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Appraiser,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Auto Body Appraiser,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Auto Body Repair Estimator,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Auto Collision Estimator,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Auto Damage Insurance Appraiser,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Automobile Appraiser (Auto Appraiser),source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Automobile Body Estimator (Auto Body Estimator),source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Automobile Damage Appraiser (Auto Damage Appraiser),source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Automobile Damage Estimator (Auto Damage Estimator),source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Automobile Damage Field Appraiser (Auto Damage Field Appraiser),source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Automotive Body Shop Estimator (Auto Body Shop Estimator),source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Automotive Claims Adjuster (Auto Claims Adjuster),source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Automotive Estimatics Inspector (Auto Estimatics Inspector),source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Automotive Estimator (Auto Estimator),source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Body Shop Estimator,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Catastrophe Adjuster,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Claims Appraiser,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Collision Appraiser,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Collision Center Estimator,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Collision Estimator,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Collision Repair Estimator,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Commercial Field Inspector,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Damage Appraiser,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Estimator,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Field Appraiser,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Field Auto Damage Adjuster,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Field Automobile Adjuster (Field Auto Adjuster),source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Field Automobile Damage Appraiser (Field Auto Damage Appraiser),source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Field Inspector,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Field Property Loss Specialist,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Insurance Appraiser,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Material Damage Adjuster,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Material Damage Appraiser,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Outside Physical Damage Appraiser,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Physical Damage Appraiser,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Property Field Inspector,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Reinspector,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Total Loss Claims Adjuster,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Vehicle Condition Assessor,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Vehicle Damage Appraiser,source_onet_insurance_appraisers_auto_damage,alias,all,open_taxonomy_supported,4
Air Pollution Compliance Inspector,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Certified Driver Examiner (CDE),source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Certified Driver License Test Administrator,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Compliance Administrator (Compliance Admin),source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Compliance Analyst,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Compliance Consultant,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Compliance Coordinator,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Compliance Examiner,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Compliance Investigator,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Compliance Officer,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Compliance Professional,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Compliance Specialist,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Cosmetology Inspector,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Department of Motor Vehicles Clerk (DMV Clerk),source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Deportation Examiner,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Driver Examiner,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Driver License Agent,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Driver License Examiner,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Driver License Reviewing Officer,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Driver License Technician,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Driver's License Examiner,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
EEO Officer (Equal Employment Opportunity Officer),source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Environmental Compliance Inspector,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Equal Employment Opportunity Investigator,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Equal Employment Opportunity Representative,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Examiner,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Forms Examiner,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Immigration Investigator,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Immigration Officer,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Industry Operations Investigator,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
IT Compliance Analyst (Information Technology Compliance Analyst),source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
License Examiner,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
License Inspector,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
License Registration Examiner,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Licensing Analyst,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Licensing Inspector,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Licensing Officer,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Licensing Registration Examiner,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Licensing Representative,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Licensing Technician,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Mortician Investigator,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Motor Vehicle Clerk,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Motor Vehicle Examiner,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Motor Vehicle Inspector,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Naturalization Examiner,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Passport Application Examiner,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Passport Clerk,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Public Service Representative (PSR),source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Public Service Representative Specialist (PSR Specialist),source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Qualifications Examiner,source_onet_compliance_officers,alias,all,open_taxonomy_supported,4
Agricultural Chemicals Inspector,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Agricultural Chemicals Registration Specialist,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Air Permitting and Enforcement Inspector,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Air Pollution Inspector,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Authorized Inspector,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
"Certified Erosion, Sediment, and Storm Water Inspector (CESSWI)",source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
City Sanitarian,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Compliance Analyst,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Compliance Coordinator,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Compliance Investigator,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Compliance Representative,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Compliance Representative Dealer,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Enforcement Officer,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Environmental Advisor,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Environmental Compliance Coordinator,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Environmental Compliance Engineer,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Environmental Compliance Inspector,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Environmental Compliance Manager,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Environmental Compliance Specialist,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Environmental Compliance Technician,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Environmental Field Specialist,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Environmental Health and Safety Advisor (EH & S),source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Environmental Inspector,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Environmental Protection Specialist,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Environmental Quality Analyst,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Field Examiner,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Field Investigator,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Hazardous Waste Management Specialist,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Hazardous Waste Specialist,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Health Inspector,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Industrial Waste Inspector,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Permit Specialist,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Pesticide Control Inspector,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Property Preservation Specialist,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Regulatory Analyst,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Regulatory Compliance Specialist,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Resource Conservation and Recovery Act Enforcement Officer (RCRA Enforcement Officer),source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Sanitation Inspector,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
State Inspector,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Toxics Program Officer,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Waste Management Specialist,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Water Pollution Control Inspector,source_onet_environmental_compliance_inspectors,alias,all,open_taxonomy_supported,4
Action Officer,source_onet_equal_opportunity_representatives_and_officers,alias,all,open_taxonomy_supported,4
Affirmative Action Officer (AA Officer),source_onet_equal_opportunity_representatives_and_officers,alias,all,open_taxonomy_supported,4
Appeals Coordinator,source_onet_equal_opportunity_representatives_and_officers,alias,all,open_taxonomy_supported,4
Civil Rights Investigator,source_onet_equal_opportunity_representatives_and_officers,alias,all,open_taxonomy_supported,4
Civil Rights Representative,source_onet_equal_opportunity_representatives_and_officers,alias,all,open_taxonomy_supported,4
Civil Rights Specialist,source_onet_equal_opportunity_representatives_and_officers,alias,all,open_taxonomy_supported,4
Complaint Investigations Officer,source_onet_equal_opportunity_representatives_and_officers,alias,all,open_taxonomy_supported,4
Equal Employment Opportunity Officer (EEO Officer),source_onet_equal_opportunity_representatives_and_officers,alias,all,open_taxonomy_supported,4
Equal Employment Opportunity Representative (EEO Representative),source_onet_equal_opportunity_representatives_and_officers,alias,all,open_taxonomy_supported,4
Equal Employment Opportunity Specialist (EEO Specialist),source_onet_equal_opportunity_representatives_and_officers,alias,all,open_taxonomy_supported,4
Equal Opportunity Counselor,source_onet_equal_opportunity_representatives_and_officers,alias,all,open_taxonomy_supported,4
Equal Opportunity Specialist,source_onet_equal_opportunity_representatives_and_officers,alias,all,open_taxonomy_supported,4
Grievance and Appeals Coordinator,source_onet_equal_opportunity_representatives_and_officers,alias,all,open_taxonomy_supported,4
Grievance Coordinator,source_onet_equal_opportunity_representatives_and_officers,alias,all,open_taxonomy_supported,4
Human Rights Officer,source_onet_equal_opportunity_representatives_and_officers,alias,all,open_taxonomy_supported,4
Adjustment Examiner,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Airport Operations Officer,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Compliance Analyst,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Compliance Coordinator,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Contract Inspector,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Government Gauger,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Housing Inspector,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Housing Management Representative,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Housing Quality Standard Inspector (HQS Inspector),source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Housing Quality Standards Inspector (HQS Inspector),source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Neighborhood Conservation Officer,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Port Patrol Officer,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Project Inspector,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Property Inspector,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Quality Assurance Inspector,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Quality Assurance Representative,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Quality Assurance Specialist,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Rehabilitation Construction Specialist,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Rent and Housing Investigator,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Section 8 Coordinator,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Section 8 Housing Specialist,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Section 8 Specialist,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Site Development Inspector,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Station Examiner,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Warehouse Examiner,source_onet_government_property_inspectors_and_investigators,alias,all,open_taxonomy_supported,4
Autopsy Facilities Manager,source_onet_coroners,alias,all,open_taxonomy_supported,4
Certified Medical Examiner,source_onet_coroners,alias,all,open_taxonomy_supported,4
Coroner,source_onet_coroners,alias,all,open_taxonomy_supported,4
Coroner Investigator,source_onet_coroners,alias,all,open_taxonomy_supported,4
County Coroner,source_onet_coroners,alias,all,open_taxonomy_supported,4
Death Investigator,source_onet_coroners,alias,all,open_taxonomy_supported,4
Examiner,source_onet_coroners,alias,all,open_taxonomy_supported,4
Forensic Medical Examiner,source_onet_coroners,alias,all,open_taxonomy_supported,4
Forensic Pathologist,source_onet_coroners,alias,all,open_taxonomy_supported,4
MDI (Medicolegal Death Investigator),source_onet_coroners,alias,all,open_taxonomy_supported,4
Medical Examiner,source_onet_coroners,alias,all,open_taxonomy_supported,4
Medical Examiner Investigator (MEI),source_onet_coroners,alias,all,open_taxonomy_supported,4
Medical Investigator,source_onet_coroners,alias,all,open_taxonomy_supported,4
Medical Legal Death Investigator,source_onet_coroners,alias,all,open_taxonomy_supported,4
Medicolegal Investigator,source_onet_coroners,alias,all,open_taxonomy_supported,4
MLI (Medical Legal Investigator),source_onet_coroners,alias,all,open_taxonomy_supported,4
Mobile Medical Examiner,source_onet_coroners,alias,all,open_taxonomy_supported,4
Paramedical Examiner,source_onet_coroners,alias,all,open_taxonomy_supported,4
Anti Money Laundering Compliance Analyst (AML Compliance Analyst),source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Clinical Quality Assurance Associate,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Clinical Quality Assurance Specialist,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
"CMC Regulatory Affairs Manager (Chemistry, Manufacturing, and Controls Regulatory Affairs Manager)",source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Drug Regulatory Affairs Specialist,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Product Safety Specialist,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Product Stewardship Specialist,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Quality Assurance Documentation Coordinator,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Quality Assurance Documentation Specialist,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Regulatory Affairs Analyst (RA Analyst),source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Regulatory Affairs Associate (RA Associate),source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Regulatory Affairs Consultant (RA Consultant),source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Regulatory Affairs Coordinator (RA Coordinator),source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Regulatory Affairs Scientist,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Regulatory Affairs Specialist (RA Specialist),source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Regulatory Affairs Strategist (RA Strategist),source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Regulatory Analyst,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Regulatory Compliance Associate,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Regulatory Compliance Specialist,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Regulatory Consultant,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Regulatory Coordinator,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Regulatory Engineer,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Regulatory Reporting Analyst,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Regulatory Scientist,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Regulatory Services Consultant,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Regulatory Specialist,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Regulatory Submissions Associate,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Research Compliance Specialist,source_onet_regulatory_affairs_specialists,alias,all,open_taxonomy_supported,4
Air Export Agent,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Air Export Operations Agent,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Air Import Agent,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Boarding Agent,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Cargo Agent,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Cargo Broker,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Cargo Office Agent,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Corporate Licensed Broker,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Customs Agent,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Customs Analyst,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Customs and Border Patrol Agent (CBP Agent),source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Customs Broker,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Customs Brokerage Agent,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Customs Brokerage Coordinator,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Customs Brokerage Entry Writer,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Customs Brokerage Representative,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Customs Brokerage Specialist,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Customs Compliance Analyst,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Customs Compliance Specialist,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Customs Consultant,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Customs Coordinator,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Customs Entry Specialist,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Customs Entry Writer,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Customs House Broker,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Customs Specialist,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Entry Writer,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Export Administrator,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Export Agent,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Export Coordinator,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Export Operations Agent,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Exporter,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Foreign Trade Manager,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
Import Agent,source_onet_customs_brokers,alias,all,open_taxonomy_supported,4
